=== Limit Order Book Performance Test ===
Total orders processed: 10000000
Total time: 963 ms
Throughput: 1.03799e+07 orders/sec
Latency (ns): min=0 avg=96.3399 median=100 p99=400 p999=800
Add latency (ns): avg=104.619 median=100 p99=200 p999=400 %=0.362978
Cancel latency (ns): avg=99.2445 median=100 p99=200 p999=300 %=0.274044
Execute latency (ns): avg=85.8682 median=0 p99=500 p999=1000 %=0.362978

Executed transactions (888606):
Trade: 482 @ 982 (BuyID=263, SellID=398, Time=16)
Trade: 132 @ 6942 (BuyID=0, SellID=373, Time=40)
Trade: 248 @ 6942 (BuyID=0, SellID=685, Time=40)
Trade: 7 @ 6942 (BuyID=0, SellID=443, Time=40)
Trade: 541 @ 6942 (BuyID=0, SellID=407, Time=40)
Trade: 419 @ 6620 (BuyID=292, SellID=527, Time=104)
Trade: 23 @ 5202 (BuyID=29, SellID=527, Time=118)
Trade: 332 @ 5202 (BuyID=29, SellID=909, Time=118)
Trade: 111 @ 1938 (BuyID=263, SellID=181, Time=121)
Trade: 664 @ 1938 (BuyID=911, SellID=181, Time=121)

